"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"NK","NK","TGFB1","TGFbR1_R2",0.0536616758313403,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"CD8_Cytotoxic","NK","TGFB1","TGFbR1_R2",0.0408863658584379,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"CD8_TRM","NK","TGFB1","TGFbR1_R2",0.0445813148830985,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"cDC2","NK","TGFB1","TGFbR1_R2",0.0348002898812286,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Cycling","NK","TGFB1","TGFbR1_R2",0.104424704098886,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"NK","CD4_T","TGFB1","TGFbR1_R2",0.0202214399962053,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"CD8_Cytotoxic","CD4_T","TGFB1","TGFbR1_R2",0.0152787595298232,0.02,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"CD8_TRM","CD4_T","TGFB1","TGFbR1_R2",0.016699813026766,0.01,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Cycling","CD4_T","TGFB1","TGFbR1_R2",0.040711466390855,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"NK","CD8_Cytotoxic","TGFB1","TGFbR1_R2",0.0221998848876808,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"CD8_Cytotoxic","CD8_Cytotoxic","TGFB1","TGFbR1_R2",0.0167819006473734,0.01,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"CD8_TRM","CD8_Cytotoxic","TGFB1","TGFbR1_R2",0.0183401551207429,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Cycling","CD8_Cytotoxic","TGFB1","TGFbR1_R2",0.0446033715144202,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"NK","CD8_TRM","TGFB1","TGFbR1_R2",0.0348452567998701,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"CD8_Cytotoxic","CD8_TRM","TGFB1","TGFbR1_R2",0.0264245130743761,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"CD8_TRM","CD8_TRM","TGFB1","TGFbR1_R2",0.0288518423516761,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"cDC2","CD8_TRM","TGFB1","TGFbR1_R2",0.0224407660499174,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
