"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"Inflammatory_Macrophage","Inflammatory_Macrophage","CCL3","CCR1",0.0713538260390682,0,"CCL3_CCR1","CCL3 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060"
"Inflammatory_Macrophage","CD8_TRM","CCL3","CCR1",0.0255707197033405,0,"CCL3_CCR1","CCL3 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060"
"Inflammatory_Macrophage","cDC2","CCL3","CCR1",0.0252871728916862,0,"CCL3_CCR1","CCL3 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060"
"Inflammatory_Macrophage","Cycling","CCL3","CCR1",0.0604966481377297,0,"CCL3_CCR1","CCL3 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060"
"Inflammatory_Macrophage","CD8_Cytotoxic","CCL4","CCR5",0.051533711035904,0,"CCL4_CCR5","CCL4 - CCR5","CCL","Secreted Signaling","KEGG: hsa04060"
"Inflammatory_Macrophage","CD8_TRM","CCL4","CCR5",0.174997092916245,0,"CCL4_CCR5","CCL4 - CCR5","CCL","Secreted Signaling","KEGG: hsa04060"
"Inflammatory_Macrophage","cDC2","CCL4","CCR5",0.0442236335023257,0.01,"CCL4_CCR5","CCL4 - CCR5","CCL","Secreted Signaling","KEGG: hsa04060"
"Inflammatory_Macrophage","Cycling","CCL4","CCR5",0.0527607729761072,0.03,"CCL4_CCR5","CCL4 - CCR5","CCL","Secreted Signaling","KEGG: hsa04060"
"Inflammatory_Macrophage","CD8_Cytotoxic","CCL3","CCR5",0.0210813846537611,0,"CCL3_CCR5","CCL3 - CCR5","CCL","Secreted Signaling","KEGG: hsa04060"
"Inflammatory_Macrophage","CD8_TRM","CCL3","CCR5",0.0775531980891826,0,"CCL3_CCR5","CCL3 - CCR5","CCL","Secreted Signaling","KEGG: hsa04060"
"Inflammatory_Macrophage","cDC2","CCL3","CCR5",0.0180089621700307,0,"CCL3_CCR5","CCL3 - CCR5","CCL","Secreted Signaling","KEGG: hsa04060"
