"pathway_name","n_interactions","mean_probability","max_probability"
"MHC-II",45,0.293723647802039,0.437777844165675
"GALECTIN",37,0.268150327321108,0.433696565906741
"MHC-I",31,0.197803744135509,0.394217469458763
"TNF",16,0.00750285425579028,0.019890917559891
"ICAM",13,0.0908226415514534,0.121387640366322
"CCL",12,0.0537055821334488,0.174997092916245
"SN",10,0.085426755981206,0.120307485290219
"Cholesterol",8,0.213160179365336,0.260283921139783
"Prostaglandin",7,0.120530217151199,0.16481637988182
"ANNEXIN",6,0.0846471644122135,0.161379057335082
"CD86",4,0.0641539005930725,0.0683715126096391
"CLEC",4,0.0519990796719052,0.097419755720901
"TRAIL",4,0.0618467374307167,0.0658679987538179
"BAFF",3,0.111083089541989,0.213740883318431
"CD99",3,0.0306077821278986,0.0628483875629781
"DHEA",3,0.0235898929421836,0.0508403886500732
"IL16",3,0.0833922154563875,0.0854064128157878
"SELPLG",3,0.122183794727603,0.126483726751043
"SEMA4",3,0.0380755580527332,0.0516056634003702
"VISFATIN",3,0.0909334385560992,0.11118797916454
"BAG",2,0.0248074456374469,0.0359608460463936
"CD48",2,0.0704033544606961,0.072584603638814
"DHEAS",2,0.0324783749727155,0.0554451945405884
"GRN",2,0.0987324476095138,0.0997588175332004
"LAIR1",2,0.0848392593375516,0.112900685349516
"CD45",1,0.399470126464386,0.399470126464386
"CXCL",1,0.0914292669812366,0.0914292669812366
