"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"Inflammatory_Macrophage","CD8_Cytotoxic","CCL4","CCR5",0.051533711035904,0,"CCL4_CCR5","CCL4 - CCR5","CCL","Secreted Signaling","KEGG: hsa04060"
"Inflammatory_Macrophage","CD8_Cytotoxic","CCL3","CCR5",0.0210813846537611,0,"CCL3_CCR5","CCL3 - CCR5","CCL","Secreted Signaling","KEGG: hsa04060"
"Inflammatory_Macrophage","CD8_Cytotoxic","TNF","TNFRSF1A",0.0027432467923876,0,"TNF_TNFRSF1A","TNF - TNFRSF1A","TNF","Secreted Signaling","KEGG: hsa04060"
"Inflammatory_Macrophage","CD8_Cytotoxic","TNF","TNFRSF1B",0.0125668590795548,0,"TNF_TNFRSF1B","TNF - TNFRSF1B","TNF","Secreted Signaling","KEGG: hsa04060"
"Inflammatory_Macrophage","CD8_Cytotoxic","LGALS9","PTPRC",0.433696565906741,0,"LGALS9_CD45","LGALS9 - CD45","GALECTIN","Secreted Signaling","PMID: 30120235"
"Inflammatory_Macrophage","CD8_Cytotoxic","LGALS9","CD44",0.34613979162119,0,"LGALS9_CD44","LGALS9 - CD44","GALECTIN","Secreted Signaling","PMID: 25065622"
"Inflammatory_Macrophage","CD8_Cytotoxic","LGALS9","P4HB",0.105499677204315,0,"LGALS9_P4HB","LGALS9 - P4HB","GALECTIN","Secreted Signaling","PMID:21670307;uniprot"
"Inflammatory_Macrophage","CD8_Cytotoxic","PGE2-PTGES3","PTGER2",0.146527241567402,0,"PGE2-PTGES3_PTGER2","PGE2-PTGES3 - PTGER2","Prostaglandin","Non-protein Signaling","PMID: 34949672;PMID: 21508345"
"Inflammatory_Macrophage","CD8_Cytotoxic","Cholesterol-LIPA","RORA",0.253376220689427,0,"Cholesterol-Cholesterol-LIPA_RORA","CHOLESTEROL-LIPA - RORA","Cholesterol","Non-protein Signaling","HMRbase;PMID:12467577;PDB:1N83"
"Inflammatory_Macrophage","CD8_Cytotoxic","CD48","CD244",0.0682221052825782,0,"CD48_CD244A","CD48 - CD244A","CD48","Cell-Cell Contact","PMID: 26697006"
"Inflammatory_Macrophage","CD8_Cytotoxic","ICAM2","ITGAL_ITGB2",0.121387640366322,0,"ICAM2_ITGAL_ITGB2","ICAM2 - (ITGAL+ITGB2)","ICAM","Cell-Cell Contact","KEGG: hsa04514"
"Inflammatory_Macrophage","CD8_Cytotoxic","ICAM2","ITGAM_ITGB2",0.0564719366348584,0,"ICAM2_ITGAM_ITGB2","ICAM2 - (ITGAM+ITGB2)","ICAM","Cell-Cell Contact","KEGG: hsa04514"
"Inflammatory_Macrophage","CD8_Cytotoxic","HLA-A","CD8A",0.361242604003229,0,"HLA-A_CD8A","HLA-A - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Inflammatory_Macrophage","CD8_Cytotoxic","HLA-B","CD8A",0.374871216204212,0,"HLA-B_CD8A","HLA-B - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Inflammatory_Macrophage","CD8_Cytotoxic","HLA-C","CD8A",0.353600222920594,0,"HLA-C_CD8A","HLA-C - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Inflammatory_Macrophage","CD8_Cytotoxic","HLA-E","CD8A",0.343018517365026,0,"HLA-E_CD8A","HLA-E - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Inflammatory_Macrophage","CD8_Cytotoxic","HLA-F","CD8A",0.279926793638272,0,"HLA-F_CD8A","HLA-F - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Inflammatory_Macrophage","CD8_Cytotoxic","HLA-A","CD8B",0.142962379797616,0,"HLA-A_CD8B","HLA-A - CD8B","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Inflammatory_Macrophage","CD8_Cytotoxic","HLA-B","CD8B",0.150293559289519,0,"HLA-B_CD8B","HLA-B - CD8B","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Inflammatory_Macrophage","CD8_Cytotoxic","HLA-C","CD8B",0.138933475026889,0,"HLA-C_CD8B","HLA-C - CD8B","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Inflammatory_Macrophage","CD8_Cytotoxic","HLA-E","CD8B",0.133449559459387,0,"HLA-E_CD8B","HLA-E - CD8B","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Inflammatory_Macrophage","CD8_Cytotoxic","HLA-F","CD8B",0.102868580241279,0,"HLA-F_CD8B","HLA-F - CD8B","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Inflammatory_Macrophage","CD8_Cytotoxic","SIGLEC1","SPN",0.118063013675364,0,"SIGLEC1_SPN","SIGLEC1 - SPN","SN","Cell-Cell Contact","KEGG: hsa04514; PMID: 11238599"
