"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"Inflammatory_Macrophage","cDC2","CCL3","CCR1",0.0252871728916862,0,"CCL3_CCR1","CCL3 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060"
"Inflammatory_Macrophage","cDC2","CCL4","CCR5",0.0442236335023257,0.01,"CCL4_CCR5","CCL4 - CCR5","CCL","Secreted Signaling","KEGG: hsa04060"
"Inflammatory_Macrophage","cDC2","CCL3","CCR5",0.0180089621700307,0,"CCL3_CCR5","CCL3 - CCR5","CCL","Secreted Signaling","KEGG: hsa04060"
"Inflammatory_Macrophage","cDC2","IL16","CD4",0.0822958191319197,0.03,"IL16_CD4","IL16 - CD4","IL16","Secreted Signaling","KEGG: hsa04060"
"Inflammatory_Macrophage","cDC2","TNF","TNFRSF1A",0.00291752908631513,0,"TNF_TNFRSF1A","TNF - TNFRSF1A","TNF","Secreted Signaling","KEGG: hsa04060"
"Inflammatory_Macrophage","cDC2","TNF","TNFRSF1B",0.0113324330418025,0,"TNF_TNFRSF1B","TNF - TNFRSF1B","TNF","Secreted Signaling","KEGG: hsa04060"
"Inflammatory_Macrophage","cDC2","NAMPT","ITGA5_ITGB1",0.0636097979495595,0,"NAMPT_ITGA5_ITGB1","NAMPT - (ITGA5+ITGB1)","VISFATIN","Secreted Signaling","PMID: 28490838"
"Inflammatory_Macrophage","cDC2","ANXA1","FPR1",0.0538511107245356,0,"ANXA1_FPR1","ANXA1 - FPR1","ANNEXIN","Secreted Signaling","PMID: 23230437"
"Inflammatory_Macrophage","cDC2","GRN","SORT1",0.0977060776858271,0,"GRN_SORT1","GRN - SORT1","GRN","Secreted Signaling","PMID: 29555433"
"Inflammatory_Macrophage","cDC2","LGALS9","PTPRC",0.386837006575904,0,"LGALS9_CD45","LGALS9 - CD45","GALECTIN","Secreted Signaling","PMID: 30120235"
"Inflammatory_Macrophage","cDC2","LGALS9","HAVCR2",0.0855315259540424,0,"LGALS9_HAVCR2","LGALS9 - HAVCR2","GALECTIN","Secreted Signaling","PMID: 27192565"
"Inflammatory_Macrophage","cDC2","LGALS9","CD44",0.26031135430179,0,"LGALS9_CD44","LGALS9 - CD44","GALECTIN","Secreted Signaling","PMID: 25065622"
"Inflammatory_Macrophage","cDC2","ANXA1","FPR3",0.0457758185467877,0,"ANXA1_FPR3","ANXA1 - FPR3","ANNEXIN","Secreted Signaling","PMID: 33082511"
"Inflammatory_Macrophage","cDC2","MT-RNR2","FPR3",0.110839505484935,0,"MT-RNR2_FPRL2","MT-RNR2 - FPRL2","ANNEXIN","Secreted Signaling","PMID: 15465011"
"Inflammatory_Macrophage","cDC2","LGALS9","P4HB",0.189821084198868,0,"LGALS9_P4HB","LGALS9 - P4HB","GALECTIN","Secreted Signaling","PMID:21670307;uniprot"
"Inflammatory_Macrophage","cDC2","CD99","PILRA",0.0164430356645754,0,"CD99_PILRA","CD99 - PILRA","CD99","Cell-Cell Contact","PMID: 18234675"
"Inflammatory_Macrophage","cDC2","ICAM2","ITGAM_ITGB2",0.0507817949773679,0,"ICAM2_ITGAM_ITGB2","ICAM2 - (ITGAM+ITGB2)","ICAM","Cell-Cell Contact","KEGG: hsa04514"
"Inflammatory_Macrophage","cDC2","HLA-DPA1","CD4",0.417492021644221,0,"HLA-DPA1_CD4","HLA-DPA1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Inflammatory_Macrophage","cDC2","HLA-DPB1","CD4",0.388852811371204,0,"HLA-DPB1_CD4","HLA-DPB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
