"Pathway","Strength"
"MHC-II",78.4775634234485
"MHC-I",70.1830903612726
"GALECTIN",40.7179475590559
"CD99",16.6352605545831
"CLEC",12.2089734939284
"IL16",11.8550513326677
"Prostaglandin",11.5699534526699
"CCL",10.1652406721766
"ICAM",9.57816409970415
"SELPLG",6.96055775010648
"MIF",6.30137675893989
"ANNEXIN",5.21556215355872
"SPP1",5.08820378923947
"SIRP",4.54904810392814
"CD45",4.32057143093561
"SEMA4",3.70643136154023
"Cholesterol",3.62349713134322
"APP",3.45613379865472
"LAMININ",2.65512219070192
"PARs",2.26390636187425
"COMPLEMENT",2.09041164425373
"LCK",2.0280963913626
"CD48",2.02565736482847
"TRAIL",1.47852181118631
"CD40",1.32874726512362
"CD6",1.21073311925729
"IFN-II",1.0423220618825
"TGFb",1.02609124988209
"SN",0.85426755981206
"BAFF",0.789647288467054
"THY1",0.756018198387803
"FASLG",0.736228353627287
"GRN",0.711007280179189
"TNF",0.683909808552022
"CD86",0.584136231920225
"MK",0.546123586237744
"VISFATIN",0.502820813751319
"BAG",0.462139143771261
"LT",0.439905515679074
"LAIR1",0.300623741515728
"NCAM",0.272731947100416
"LIGHT",0.259940565647204
"ApoE",0.242201699661497
"DHEA",0.228324778285209
"CLDN",0.201608589992571
"GAS",0.19562014309879
"CXCL",0.172847985647789
"CADM",0.115999227269821
"CD39",0.09112668835093
"Testosterone",0.086808200143287
"DHEAS",0.064956749945431
"CysLTs",0.0571347780304132
"MPZ",0.041428865168374
"PD-L1",0.0216253730255498
"FLRT",0.0139321917345535
"2-AG",0.0121655757163811
"UNC5",0.0121560624792559
"PDGF",0.0104854024218201
"ncWNT",0.0103127732748246
"IGF",0.00946832035319795
